Id,Text
UI_START_GAME,Start Game
UI_CONTINUE,Continue
UI_SETTINGS,Settings
UI_EXIT_GAME,Exit Game
UI_CONFIRM,Confirm
UI_CANCEL,Cancel
UI_RETRY,Retry
UI_BACK,Back
UI_LOADING,Loading...
UI_PAUSE,Paused
CONFIG_SOUND,temp
CONFIG_LANGUAGE_SETTINGS,temp
CONFIG_LANGUAGE,TEMP
CONFIG_SOUND_MASTER_VOLUME,temp
CONFIG_SOUND_MUSIC_VOLUME,temp
CONFIG_SOUND_SFX_VOLUME,temp
AKUBI_NAME_KEY,Akubi Demonspade
KONOMI_NAME_KEY,Amakami Konomi
LIZ_NAME_KEY,Amayo Liz
KOMA_NAME_KEY,Komawari Koma
TSUKURI_NAME_KEY,Nemukumo Tsukuri
NUHU_NAME_KEY,Nijipuka Nuhu
NONO_NAME_KEY,Nonono Nono
RACO_NAME_KEY,Otonose Raco
RAY_NAME_KEY,Yugiri Ray
YURA_NAME_KEY,Yuragi Yura
TRACK_Luminous_KEY,Luminous
TRACK_Dochi_KEY,Dochi?!
