Id,Text
GAME_START,ゲームスタート
GAME_PRESS_ENTER_TO_START,Enterキーを押してスタート
GAME_RESULT,リザルト
GAME_PRESS_ENTER_TWICE_TO_RETRY,Enterキーを2回押してリトライ
GAME_CONTINUE,つづける
GAME_CONFIG,設定
GAME_RETRY,リトライ
GAME_QUIT,ゲーム終了
GAME_CONFIRM_RETRY,ゲームをやり直しますか？
COMMON_YES,はい
COMMON_NO,いいえ
GAME_CONFIRM_QUIT,ゲームを終了しますか？
UI_START_GAME,ゲーム開始
UI_CONTINUE,続ける
UI_SETTINGS,設定
UI_EXIT_GAME,ゲーム終了
UI_CONFIRM,確認
UI_CANCEL,キャンセル
UI_RETRY,リトライ
UI_BACK,戻る
UI_LOADING,ロード中...
UI_PAUSE,一時停止
CONFIG_SOUND,サウンド設定
CONFIG_LANGUAGE_SETTINGS,言語設定
CONFIG_LANGUAGE,言語
CONFIG_KEYBOARD_LAYOUT,キーボードレイアウト
CONFIG_VOLUME_SETTINGS,音量設定
CONFIG_SOUND_MASTER_VOLUME,マスター音量
CONFIG_SOUND_MUSIC_VOLUME,音楽音量
CONFIG_SOUND_SFX_VOLUME,効果音音量
CONFIG_GAME_SETTINGS,ゲーム設定
CONFIG_JUDGE_TIMING,ノート判定タイミング調整
UI_CREDITS,クレジット
UI_EXIT_GAME_CONFIRM,ゲームを終了しますか？
CREDIT_DESIGN_DEVELOPMENT,デザイン・開発
CREDIT_CHARACTER_ART,キャラクターアート
CREDIT_INSPIRED_BY,参考作品
CREDIT_INSPIRED_TRIBUTE,これらの作品への愛と敬意を込めて。
CREDIT_ORIGINAL_IP_RIGHTS,原作・IP権利
CREDIT_GAME_RIFT_OF_THE_NECRODANCER,Rift of the NecroDancer
CREDIT_GAME_DJMAX_RESPECT,DJMAX RESPECT
CREDIT_GAME_FRIDAY_NIGHT_FUNKIN,Friday Night Funkin'
CREDIT_GAME_RHYTHM_HEAVEN_MIRACLE_STARS,リズム天国 ミラクルスターズ
CREDIT_GAME_STELLAR_SORA,ステラソラ
CREDIT_GAME_GROOVE_COASTER_WAI_WAI_PARTY,グルーヴコースター ワイワイパーティー!!!!
CREDIT_GAME_OSU,osu!
CREDIT_GAME_FTL,FTL: Faster Than Light
CREDIT_GAME_HOLOLIVE_DREAMS,ホロライブドリームス
CREDIT_FAN_CONTENT_NOTICE,本ゲームはミリプロの公式作品ではなく、ファンによって制作された非公式のファンコンテンツです。
