Id,Text
UI_START_GAME,게임 시작
UI_CONTINUE,계속하기
UI_SETTINGS,설정
UI_EXIT_GAME,게임 종료
UI_CONFIRM,확인
UI_CANCEL,취소
UI_RETRY,재시도
UI_BACK,뒤로
UI_LOADING,로딩 중...
UI_PAUSE,일시 정지
CONFIG_SOUND,사운드 설정
CONFIG_LANGUAGE_SETTINGS,언어 설정
CONFIG_LANGUAGE,언어
CONFIG_SOUND_MASTER_VOLUME,마스터
CONFIG_SOUND_MUSIC_VOLUME,음악
CONFIG_SOUND_SFX_VOLUME,효과음
AKUBI_NAME_KEY,아쿠비 데몬스페이드
KONOMI_NAME_KEY,아마카미 코노미
LIZ_NAME_KEY,아마요 리즈
KOMA_NAME_KEY,코마와리 코마
TSUKURI_NAME_KEY,네무쿠모 츠쿠리
NUHU_NAME_KEY,니지푸카 누후
NONO_NAME_KEY,노노노 노노
RACO_NAME_KEY,오토노세 라코
RAY_NAME_KEY,유기리 레이
YURA_NAME_KEY,유라기 유라
